,Replication_ID,Ratio,Best_K,MAE,RMSE,R2
3908,434,0.4,10,33924.32859038162,57709.37682024378,0.8411672921933087
3909,434,0.6,7,32172.956362285157,56381.7328714344,0.8483913397342329
3910,434,0.8,7,32865.56807772209,60875.01363080818,0.8232638811115616
3911,434,0.85,5,33478.623903299216,62671.643828433065,0.812677759815097
3912,434,0.9,5,34296.517247235104,64354.90177445103,0.8024802922660599
3913,434,0.95,5,36612.35822382292,70413.4458925607,0.763539628573867
3914,434,1.0,8,43619.61038360478,82193.57734446626,0.6778019286647137
3915,435,0.0,15,52013.70884253579,84069.89899015157,0.7049121660896004
3916,435,0.2,10,37854.081588430534,68353.52524085986,0.8049292792952575
3917,435,0.4,9,34910.359751126445,64838.72876427187,0.8244748971818547
3918,435,0.6,6,33081.887732819145,63162.15900536504,0.8334348322696408
3919,435,0.8,6,33071.89000777277,64461.650813879634,0.8265105381884787
3920,435,0.85,6,33410.30966507391,64986.79423412271,0.8236723249617857
3921,435,0.9,4,34696.97341958282,66247.36067027049,0.8167654296795672
3922,435,0.95,5,36850.14796357125,71277.03165183599,0.7878859367039159
3923,435,1.0,8,43594.7753592143,83678.31370405521,0.7076547158719136
3924,436,0.0,16,50799.55933881031,78401.36808536087,0.7012236862844039
3925,436,0.2,9,37874.72690880275,61914.641901868636,0.813668786083131
3926,436,0.4,8,33637.77131040796,56243.16317030998,0.8462417745185621
3927,436,0.6,5,32019.917311654415,53198.455273642525,0.8624384925991795
3928,436,0.8,4,31924.93052533805,54457.37125044052,0.8558508024010034
3929,436,0.85,5,32083.39595766781,55264.82521841276,0.8515444343132575
3930,436,0.9,4,32740.242078103838,57089.23390792013,0.8415809834852791
3931,436,0.95,5,35237.56131363601,62768.34029497906,0.80849497546551
3932,436,1.0,5,42008.98417527448,77822.54764657318,0.7056190038607046
3933,437,0.0,10,54472.08574725167,88417.0206360351,0.6558496482694021
3934,437,0.2,12,40649.73742560284,73892.07414709854,0.7596344742479386
3935,437,0.4,16,37269.60651578888,70886.73102393966,0.7787891813681809
3936,437,0.6,7,35477.53511416412,69153.69776632734,0.7894732530629602
3937,437,0.8,6,34899.44973630167,68558.06869336698,0.7930842190824164
3938,437,0.85,6,35024.24845755637,68935.17739065344,0.7908016476435313
3939,437,0.9,5,36005.60664687881,70462.51469913874,0.7814288981727866
3940,437,0.95,4,38512.53924094019,75011.93757652445,0.7522935976135281
3941,437,1.0,6,45318.43542992046,84612.23594095274,0.6848314974794332
3942,438,0.0,13,51868.59224473772,78404.09823715292,0.6868510476973932
3943,438,0.2,8,37198.9415667576,61315.96039056038,0.8084771901383191
3944,438,0.4,10,33280.84496226952,56671.23974145624,0.8363941375884117
3945,438,0.6,8,31363.047155811997,55279.425976751445,0.8443315919722089
3946,438,0.8,6,31032.5478245652,58364.01802615386,0.8264743017792262
3947,438,0.85,4,31552.76992380863,59974.19663078246,0.8167675818445528
3948,438,0.9,5,32679.26546731307,61619.70852635199,0.8065749516500733
3949,438,0.95,3,34781.923878372254,66332.69391142268,0.7758551807611003
3950,438,1.0,5,41549.706981870506,74166.05106431482,0.7197899249929476
3951,439,0.0,15,52167.40921114893,85716.46574887563,0.7014693856033448
3952,439,0.2,5,39131.04839405006,69138.40238882377,0.8057777224266748
3953,439,0.4,9,35443.237956760066,65039.41946830546,0.8281246184940724
3954,439,0.6,8,33637.6719379399,63026.11663783232,0.8386007692346367
3955,439,0.8,8,33137.64034814305,63340.6160793353,0.8369859905868406
3956,439,0.85,8,33317.6717373541,64341.4914829907,0.8317935633159896
3957,439,0.9,8,34295.527047346586,66452.05541198405,0.8205773776024902
3958,439,0.95,5,36762.141146448485,70173.19561604895,0.7999203719045025
3959,439,1.0,8,42927.382659293595,80735.30614189687,0.7351576970248613
3960,440,0.0,15,54234.6261745553,92051.56733784195,0.6567326503483808
3961,440,0.2,6,40648.86738258494,78625.7406941261,0.7495623491803336
3962,440,0.4,9,36605.318617092234,74993.63400306353,0.7721657981789579
3963,440,0.6,4,35083.427047968566,72804.60038427725,0.7852724511076886
3964,440,0.8,6,35180.85059683904,73030.70712671656,0.7839366361053766
3965,440,0.85,6,35541.31650316913,74046.21265658225,0.7778860570401512
3966,440,0.9,4,36436.1320542365,73293.27272842429,0.7823802280995029
3967,440,0.95,4,38624.738368292594,78316.06920085927,0.7515311872886005
3968,440,1.0,5,45564.347259025635,91361.62038789141,0.6618590962641775
3969,441,0.0,14,53175.41917686974,85620.47084824921,0.7004982239097215
3970,441,0.2,12,40380.95101885141,72143.69225281592,0.7873619850561682
3971,441,0.4,11,36522.91482602594,66639.87416048867,0.8185685735196885
3972,441,0.6,6,35096.89089028156,64478.15555123588,0.8301484987258683
3973,441,0.8,6,34695.4434605225,65934.1730567692,0.8223908622491585
3974,441,0.85,7,35400.19286460651,67790.19611142148,0.8122508587954945
3975,441,0.9,6,36403.518105840616,69911.06950699227,0.800319309090932
3976,441,0.95,6,39246.8232916508,76233.23913277713,0.762571458310124
3977,441,1.0,9,45473.12207737511,87608.257597072,0.6864301744265384
3978,442,0.0,12,55044.424738643596,92521.55465092382,0.6578928388940407
3979,442,0.2,12,41397.17827498693,76633.63889534613,0.7652988496673218
3980,442,0.4,9,36863.48076296533,71404.1883811448,0.7962377648469268
3981,442,0.6,8,35421.250531139995,70026.64339446904,0.8040239765513233
3982,442,0.8,6,34903.37984469178,69525.15499801307,0.806820848917443
3983,442,0.85,4,35279.27012249216,69397.95443881894,0.8075270686330124
3984,442,0.9,5,36203.40582873396,72170.9367703615,0.7918382134303659
3985,442,0.95,4,38695.195914493466,77761.53070679898,0.7583393587188589
3986,442,1.0,6,45205.32892354082,86671.89576836911,0.6997846363521568
3987,443,0.0,10,52197.95774437491,90454.25546039973,0.6778321763113739
3988,443,0.2,12,39423.97446493563,78279.62779893725,0.7587198129344135
3989,443,0.4,9,36053.80543653573,74098.77751197306,0.7838047027161053
3990,443,0.6,7,34351.07993488719,71439.2867805251,0.7990452033139679
3991,443,0.8,6,34666.897824723565,72148.1797424516,0.7950372619955418
3992,443,0.85,5,35225.596790652795,73053.09448878375,0.7898635499920812
3993,443,0.9,4,36393.72720829863,75332.28225826129,0.776546888312439
3994,443,0.95,4,38668.88413226814,80223.62097324498,0.7465871240633986
3995,443,1.0,5,45160.37078131778,91293.10322378034,0.6718290785525551
3996,444,0.0,14,52696.40419710217,83417.97963168831,0.6947373302535365
3997,444,0.2,15,39014.53243789253,67528.24018792882,0.799956139130567
